Title;PMID;Include;Reason for exclusion;Publishing year;ICD-10 chapter;COVID-19 research;First author;Senior author;Data source;Data origin
Antibiotic prescribing for common infections in UK general practice: variability and drivers.;31038162;Yes;n/a;2019;;No;UK;UK;Clinical Practice Research Datalink;UK
A two-site survey of medical center personnel's willingness to share clinical data for research: implications for reproducible health NLP research.;30943963;No (excluded in title and abstract screening);No medical research (no new insights with direct relevance to health);2019;;;;;;
Daratumumab-lenalidomide-dexamethasone vs standard-of-care regimens: Efficacy in transplant-ineligible untreated myeloma.;32804408;Yes;n/a;2020;2;No;US;FR;Flatiron Health;US
Validity of health insurance data to identify people with epilepsy.;29220740;Yes;n/a;2018;6;No;NL;NL;Achmea;NL
Opioid Prescribing Rates in Nonmetropolitan and Metropolitan Counties Among Primary Care Providers Using an Electronic Health Record System - United States, 2014-2017.;30653483;Yes;n/a;2019;;No;US;US;Athenahealth;US
National Trends in Daily Ambulatory Electronic Health Record Use by Otolaryngologists.;32876342;No (excluded in title and abstract screening);No tabular data;2021;;;;;;
Predictive Modeling of 30-Day Emergency Hospital Transport of Patients Using a Personal Emergency Response System: Prognostic Retrospective Study.;30482741;Yes;n/a;2018;;No;NL;US;Philips Lifeline;US
Diagnostic Algorithms to Study Post-Concussion Syndrome Using Electronic Health Records: Validating a Method to Capture an Important Patient Population.;30773988;Yes;n/a;2019;5;No;US;US;Vanderbilt University Medical Center;US
Data Integration Innovations to Enhance Analytic Utility of Clinical Trial Content to Inform Health Disparities Research.;30254982;No (excluded in title and abstract screening);No medical research (focus on data provision);2018;;;;;;
Mendelian Disease Associations Reveal Novel Insights into Inflammatory Bowel Disease.;29462399;Yes;n/a;2018;11;No;US;US;Optum;US
The International Neuromodulation Registry: An Informatics Framework Supporting Cohort Discovery and Analysis.;33071769;No (excluded in title and abstract screening);No medical research (focus on data provision);2020;;;;;;
'Real time' monitoring of antipsychotic prescribing in patients with dementia: a study using the Clinical Record Interactive Search (CRIS) platform to enhance safer prescribing.;32229485;Yes;n/a;2020;5;No;UK;UK;South London and Maudsley NHS Foundation Trust;UK
Epidemiologic features of a large hepatitis C cohort evaluated in a major health system in the western United States.;31053542;Yes;n/a;2019;1;No;US;US;Providence Health & Services;US
Adverse Events Associated with Risperidone Use in Pediatric Patients: A Retrospective Biobank Study.;30919267;Yes;n/a;2019;5;No;US;US;Vanderbilt University Medical Center;US
Early Treatment Innovation for Opioid-Dependent Newborns: A Retrospective Comparison of Outcomes, Utilization, Quality, and Safety, 2006-2014.;29793880;Yes;n/a;2018;5;No;US;US;Not precisely specified;US
Multi-institutional review of bowel management strategies in children with anorectal malformations.;32616413;Yes;n/a;2020;17;No;US;US;Multiple;US
J-CKD-DB: a nationwide multicentre electronic health record-based chronic kidney disease database in Japan.;32355258;Yes;n/a;2020;14;No;JP;JP;Multiple;JP
Reduction in laboratory turnaround time decreases emergency room length of stay.;29719423;Yes;n/a;2018;;No;US;US;Cerner Corporation;US
Temporal Trends and Patterns in Mortality After Incident Heart Failure: A Longitudinal Analysis of 86 000 Individuals.;31479100;Yes;n/a;2019;9;No;UK;UK;Clinical Practice Research Datalink;UK
Reversals and limitations on high-intensity, life-sustaining treatments.;29489814;Yes;n/a;2018;;No;US;US;Stanford University Medical Center;US
Rivaroxaban Versus Warfarin in African American Patients with Nonvalvular Atrial Fibrillation.;32493618;Yes;n/a;2020;9;No;US;US;Optum;US
An animal health example of managing and analyzing a large volume of data on a PC: Modeling body weight and age of over 13 million cats for explanatory and predictive purposes.;31733427;No (excluded in title and abstract screening);No medical research (no new insights with direct relevance to health);2020;;;;;;
Using de-identified electronic health records to research mental health supported housing services: A feasibility study.;32817624;Yes;n/a;2020;5;No;UK;UK;Camden and Islington NHS Foundation Trust;UK
Supporting general practice to make timely decisions for better health care: a population health approach.;29898816;No (excluded in title and abstract screening);No medical research (no new insights with direct relevance to health);2018;;;;;;
Characteristics of patients with motor functional neurological disorder in a large UK mental health service: a case-control study.;30773149;Yes;n/a;2020;5;No;UK;UK;South London and Maudsley NHS Foundation Trust;UK
Impact of delaying initiation of anaplastic lymphoma kinase inhibitor treatment on survival in patients with advanced non-small-cell lung cancer.;32276206;Yes;n/a;2020;2;No;US;US;Flatiron Health;US
Impact of matching error on linked mortality outcome in a data linkage of secondary mental health data with Hospital Episode Statistics (HES) and mortality records in South East London: a cross-sectional study.;32641360;Yes;n/a;2020;5;No;UK;UK;South London and Maudsley NHS Foundation Trust;UK
Development of predictive risk models for major adverse cardiovascular events among patients with type 2 diabetes mellitus using health insurance claims data.;30143045;Yes;n/a;2018;9;No;US;US;Optum;US
Health-related welfare prioritisation of canine disorders using electronic health records in primary care practice in the UK.;31118035;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2019;;;;;;
Enhancing the analytic utility of clinical trial data to inform health disparities research.;33319118;No (excluded in title and abstract screening);No medical research (focus on data provision);2020;;;;;;
Assessment of a demonstrator repository for individual clinical trial data built upon DSpace.;32528663;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2020;;;;;;
A Good Practice-Compliant Clinical Trial Imaging Management System for Multicenter Clinical Trials: Development and Validation Study.;31471962;No (excluded in title and abstract screening);No tabular data;2019;;;;;;
Health timeline: an insight-based study of a timeline visualization of clinical data.;31438942;Yes;n/a;2019;;No;FI;FI;Multiple;AU
Probabilistic record linkage of de-identified research datasets with discrepancies using diagnosis codes.;30620344;No (excluded in title and abstract screening);No medical research (focus on anonymization);2019;;;;;;
Is paliperidone palmitate more effective than other long-acting injectable antipsychotics?;29039277;Yes;n/a;2018;5;No;UK;UK;South London and Maudsley NHS Foundation Trust;UK
Machine learning to parse breast pathology reports in Chinese.;29380208;No (excluded in title and abstract screening);No tabular data;2018;;;;;;
Use of Oral Anticoagulation in a Real-World Population With Device Detected Atrial Fibrillation.;33252286;Yes;n/a;2020;9;No;US;US;Optum;US
Occupational Injury Claims Related to Patient Lifting and Moving in a Safety-Oriented Emergency Medical Services Agency.;33062522;No (excluded in title and abstract screening);No tabular data;2020;;;;;;
General hospital admission rates in people diagnosed with personality disorder.;30689214;Yes;n/a;2019;5;No;UK;UK;South London and Maudsley NHS Foundation Trust;UK
Using electronic health records to characterize prescription patterns: focus on antidepressants in nonpsychiatric outpatient settings.;30474077;Yes;n/a;2018;5;No;US;US;Not precisely specified;US
CogStack - experiences of deploying integrated information retrieval and extraction services in a large National Health Service Foundation Trust hospital.;29941004;No (excluded in title and abstract screening);No medical research (focus on anonymization);2018;;;;;;
Comparative-effectiveness of pembrolizumab vs. nivolumab for patients with metastatic melanoma.;31920132;Yes;n/a;2020;2;No;US;US;Flatiron Health;US
Machine learning for suicide risk prediction in children and adolescents with electronic health records.;33243979;Yes;n/a;2020;5;No;US;US;Connecticut Children’s Medical Center;US
Screening for Hypogonadism in Primary Healthcare: How to do this Effectively.;29365335;Yes;n/a;2018;4;No;UK;UK;Multiple;UK
Morbidity and mortality with early pulmonary haemorrhage in preterm neonates.;29374627;Yes;n/a;2019;16;No;US;US;Pediatrix Medical Group;US
Pediatric Severe Sepsis Prediction Using Machine Learning.;31681711;Yes;n/a;2019;1;No;US;US;University of California San Francisco;US
Ventilator Boot Camp Improves the Knowledge and Skills Associated With Mechanical Ventilator Use During Interfacility Transport of Intubated Pediatric Patients.;29559539;No (excluded in full-paper screening);No real-world application (findings not based on real-world data);2018;;;;;;
Using Dispensing Data to Evaluate Adherence Implementation Rates in Community Pharmacy.;30863308;Yes;n/a;2019;;No;AU;AU;The Pharmacy Guild of Australia;AU
Effectiveness and safety of rivaroxaban versus warfarin in obese nonvalvular atrial fibrillation patients: analysis of electronic health record data.;32347755;Yes;n/a;2020;9;No;US;US;Optum;US
How Clinical Practice Research Datalink data are used to support pharmacovigilance.;31210923;No (excluded in title and abstract screening);No medical research (no new insights with direct relevance to health);2019;;;;;;
Factors affecting use of unscheduled care for people with advanced cancer: a retrospective cohort study in Scotland.;31740459;Yes;n/a;2019;2;No;UK;UK;Public Health Scotland, NHS Scotland;UK
Trends and predictors of extreme preterm birth: Western Australian population-based cohort study.;30913277;Yes;n/a;2019;15;No;AU;AU;Western Australian Data Linkage System;AU
Practical utility of general practice data capture and spatial analysis for understanding COPD and asthma.;30477507;Yes;n/a;2018;10;No;AU;AU;Multiple;AU
Selenium Deficiency in Lymphedema and Lipedema-A Retrospective Cross-Sectional Study from a Specialized Clinic.;32344864;Yes;n/a;2020;4;No;DE;DE;Lympho-Opt Clinic Pommelsbrunn-Hohenstadt;DE
Proton pump inhibitors and dementia risk: Evidence from a cohort study using linked routinely collected national health data in Wales, UK.;32946449;Yes;n/a;2020;5;No;UK;UK;SAIL Databank;UK
The impact of universal access to direct-acting antiviral therapy on the hepatitis C cascade of care among individuals attending primary and community health services.;32603349;Yes;n/a;2020;1;No;AU;AU;Multiple;AU
Parsing clinical text using the state-of-the-art deep learning based parsers: a systematic comparison.;30943955;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2019;;;;;;
Real-World Dosing Patterns and Outcomes of Patients With Metastatic Pancreatic Cancer Treated With a Liposomal Irinotecan Regimen in the United States.;32011529;Yes;n/a;2020;2;No;US;US;Flatiron Health;US
Safety of inadvertent administration of live zoster vaccine to immunosuppressed individuals in a UK-based observational cohort analysis.;32001495;Yes;n/a;2020;1;No;UK;UK;Clinical Practice Research Datalink;UK
The Safety of the Kahook Dual Blade in the Surgical Treatment of Glaucoma.;31976190;Yes;n/a;2020;7;No;SA;SA;Al-Maghrabi Hospital;SA
The antinuclear antibody dense fine speckled pattern and possible clinical associations: An indication of a proinflammatory microenvironment.;33121975;Yes;n/a;2021;13;No;US;US;Not precisely specified;US
Practice patterns and outcomes with the use of regorafenib in metastatic colorectal cancer: Results from the Regorafenib in Metastatic colorectal cancer - An Indian exploratory analysis study.;30766846;Yes;n/a;2019;2;No;IN;IN;Multiple;IN
Community treatment orders and associations with readmission rates and duration of psychiatric hospital admission: a controlled electronic case register study.;32139493;Yes;n/a;2020;5;No;UK;UK;South London and Maudsley NHS Foundation Trust;UK
Natural Language Processing of Clinical Notes on Chronic Diseases: Systematic Review.;31066697;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2019;;;;;;
Managing Patients in the COVID-19 Pandemic: A Virtual Multidisciplinary Approach.;33521583;Yes;n/a;2021;22;Yes;US;US;Mayo Clinic ;US
Community Outreach for Navajo People Living with Diabetes: Who Benefits Most?;32701432;Yes;n/a;2020;4;No;US;US;Multiple;US
Effectiveness of viable cryopreserved placental membranes for management of diabetic foot ulcers in a real world setting.;29683538;Yes;n/a;2018;4;No;US;US;Multiple;US
Toward a Model for Personal Health Record Interoperability.;29993759;No (excluded in title and abstract screening);No medical research (no new insights with direct relevance to health);2019;;;;;;
Findings from the 2019 International Medical Informatics Association Yearbook Section on Health Information Management.;31419817;No (excluded in title and abstract screening);Anonymous survey;2019;;;;;;
"Differentiating Usual Interstitial Pneumonia From Nonspecific Interstitial Pneumonia Using High-resolution Computed Tomography: The ""Straight-edge Sign"".";29683868;No (excluded in title and abstract screening);No tabular data;2018;;;;;;
Phenome-Wide Association Studies Uncover a Novel Association of Increased Atrial Fibrillation in Male Patients With Systemic Lupus Erythematosus.;29481723;Yes;n/a;2018;13;No;US;US;Vanderbilt University Medical Center;US
Creating synthetic patient data to support the design and evaluation of novel health information technology.;31078659;No (excluded in title and abstract screening);No medical research (focus on anonymization);2019;;;;;;
Research using electronic health records: not all de-identified datasets are created equal.;31039984;No (excluded in title and abstract screening);No medical research (focus on anonymization);2019;;;;;;
Deep EHR: A Survey of Recent Advances in Deep Learning Techniques for Electronic Health Record (EHR) Analysis.;29989977;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2018;;;;;;
Increased blood pressure visit-to-visit variability in patients with systemic lupus erythematosus: association with inflammation and comorbidity burden.;31221051;Yes;n/a;2019;13;No;US;US;Vanderbilt University Medical Center;US
Retrospective Comparative Analysis of Opioid Use and Intra-Articular Corticosteroid Injections Before and After Initial Treatment of Knee Osteoarthritis with Hylan G-F 20.;32581606;Yes;n/a;2020;13;No;US;FR;Cerner Corporation;US
Prescribing patterns of opioid analgesics in a dental setting: 2013-2018.;32660860;Yes;n/a;2020;11;No;US;US;University of Kentucky College of Dentistry;US
Association Between Number of Actionable Pharmacogenetic Variants and Length of Hospital Stay.;32604634;Yes;n/a;2020;;No;US;US;eMERGE;US
How do cardiovascular risk prediction equations developed among 30-74 year olds perform in older age groups? A validation study in 125 000 people aged 75-89 years.;32144211;Yes;n/a;2020;9;No;NZ;NZ;New Zeeland Ministry of Health;NZ
Approach to record linkage of primary care data from Clinical Practice Research Datalink to other health-related patient data: overview and implications.;30219957;No (excluded in title and abstract screening);No medical research (focus on anonymization);2019;;;;;;
Clinical features of early-stage possible Behçet's disease patients with a variant-type major organ involvement in Japan.;29954241;Yes;n/a;2019;13;No;JP;JP;Japanese Ministry of Health;JP
Incorporating a location-based socioeconomic index into a de-identified i2b2 clinical data warehouse.;30715327;No (excluded in title and abstract screening);No medical research (focus on anonymization);2019;;;;;;
Allogeneic hematopoietic cell transplantation for multiple myeloma: A retrospective analysis of the Polish Myeloma Group.;32919120;No (not retrieved);Not retrieved;2020;;;;;;
Descriptive analysis of real-world medication use pattern of statins and antiplatelet agents among patients with acute coronary syndrome in Hong Kong and the USA.;31315855;Yes;n/a;2019;9;No;AU;HK;Optum, Hong Kong Hospital Authority;US, CN
Performance of Atrial Fibrillation Risk Prediction Models in Over 4 Million Individuals.;33295794;Yes;n/a;2021;9;No;US;US;IBM;US
Evaluating risk factors for differences in fibroid size and number using a large electronic health record population.;29907250;Yes;n/a;2018;2;No;US;US;Vanderbilt University Medical Center;US
Acute Post-Tracheostomy Clinical Decompensations in Infants-Are There Predictive Markers?;29702711;Yes;n/a;2018;17;No;US;US;Children's Mercy Hospital Kansas City;US
Guideline-concordant-phenotyping: Identifying patient indications for implantable cardioverter defibrillators from electronic health records.;32298971;Yes;n/a;2020;9;No;US;US;Optum;US
Epidemiology of dementia: prevalence and incidence estimates using validated electronic health records from primary care.;30881138;Yes;n/a;2019;5;No;ES;ES;SIDIAP;ES
Development and validation of a multivariable prediction model for infection-related complications in patients with common infections in UK primary care and the extent of risk-based prescribing of antibiotics.;32434588;Yes;n/a;2020;1;No;UK;UK;SAIL Databank, Clinical Practice Research Datalink;UK
Adherence to hepatitis A and hepatitis B multi-dose vaccination schedules among adults in the United Kingdom: a retrospective cohort study.;30987613;Yes;n/a;2019;1;No;US;US;Clinical Practice Research Datalink;UK
An enhanced prognostic score for overall survival of patients with cancer derived from a large real-world cohort.;32739409;Yes;n/a;2020;2;No;DE;DE;Flatiron Health;US
The research data management platform (RDMP): A novel, process driven, open-source tool for the management of longitudinal cohorts of clinical data.;29790950;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2018;;;;;;
Using Public Health Data for Soil Pb Hazard Management in Ohio.;28079647;Yes;n/a;2018;19;No;US;US;Ohio Department of Health;US
Mode of birth after caesarean section: individual prediction scores using Scottish population data.;30819140;Yes;n/a;2019;15;No;UK;UK;Aberdeen Maternity and Neonatal databank;UK
Use of Machine Learning and Artificial Intelligence to predict SARS-CoV-2 infection from Full Blood Counts in a population.;32652499;Yes;n/a;2020;22;Yes;UK;UK;Hospital Israelita Albert Einstein;BR
Trends in Positive BRCA Test Results Among Older Women in the United States, 2008-2018.;33151316;Yes;n/a;2020;2;No;US;US;Optum;US
Patient characteristics and outcome measurement in a low secure forensic hospital.;29218747;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2018;;;;;;
Real-World Outcomes for Advanced Non-Small Cell Lung Cancer Patients Treated With a PD-L1 Inhibitor Beyond Progression.;32409266;Yes;n/a;2020;2;No;US;US;Flatiron Health;US
Prevalence of Established Cardiovascular Disease in Patients with Type 2 Diabetes Mellitus in the UK.;31583647;Yes;n/a;2019;4;No;US;US;Clinical Practice Research Datalink;UK
De-identifying free text of Japanese electronic health records.;32958039;No (excluded in title and abstract screening);No medical research (focus on anonymization);2020;;;;;;
Relationships between public health nurse-delivered physical activity interventions and client physical activity behavior.;29579488;Yes;n/a;2018;;No;US;US;Not precisely specified;US
Maternal and neonatal outcomes among incarcerated women who gave birth in custody.;33368480;Yes;n/a;2021;15;No;US;US;Multiple;US
Utilization Trends and Factors Associated With ROS1 Testing Among Patients With Advanced Non-small-cell Lung Cancer in US Community Practices.;32763067;Yes;n/a;2021;2;No;US;US;Flatiron Health;US
Learning relevance models for patient cohort retrieval.;30474078;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2018;;;;;;
Prior Treatment Time Affects Survival Outcomes in Metastatic Breast Cancer.;32479187;Yes;n/a;2020;2;No;US;US;Flatiron Health;US
PRISM: A Platform for Imaging in Precision Medicine.;32479186;No (excluded in title and abstract screening);No tabular data;2020;;;;;;
Assessment of Potentially Inappropriate Prescribing of Opioid Analgesics Requiring Prior Opioid Tolerance.;32293684;Yes;n/a;2020;;No;US;US;Optum;US
Impact of initial COVID-19 restrictions on psychiatry presentations to the emergency department of a large academic teaching hospital.;32996441;Yes;n/a;2021;5;Yes;IE;IE;Beaumont Hospital;IE
EPIDEMIOLOGY of NECK INJURIES ACCOMPANYING SPORT CONCUSSIONS in YOUTH OVER a 13-YEAR PERIOD IN a COMMUNITY-BASED HEALTHCARE SYSTEM.;31681492;Yes;n/a;2019;19;No;US;US;University of Colorado Health, Childrens Hospital Colorado;US
Individuals with spinal cord injury have greater odds of substance use disorders than non-sci comparisons.;31606588;Yes;n/a;2019;5;No;US;US;Penn State Hershey Medical Center;US
Demographic, Clinical, and Immunologic Correlates among a Cohort of 50 Cocaine Users Demonstrating Antineutrophil Cytoplasmic Antibodies.;31092720;Yes;n/a;2019;13;No;US;US;University of Washington;US
Suitability of administrative claims databases for bariatric surgery research - is the glass half-full or half-empty?;32894060;Yes;n/a;2020;4;No;US;US;Optum;US
Irish School Entry Screening referral trends and cohort comparison with preschool specialist referrals.;29504414;Yes;n/a;2018;;No;IE;;Multiple;IE
An evaluation of recurrent hypoglycemia across Chicago, Illinois.;32732137;Yes;n/a;2020;4;No;US;US;Multiple;US
Stroke Risk as a Function of Atrial Fibrillation Duration and CHA(2)DS(2)-VASc Score.;31564126;Yes;n/a;2019;9;No;US;US;Optum;US
Disorders of Bulldogs under primary veterinary care in the UK in 2013.;31188857;No (excluded in title and abstract screening);No medical research (no new insights with direct relevance to health);2019;;;;;;
Early Identification of Delirium in Intensive Care Unit Patients: Improving the Quality of Care.;32236428;Yes;n/a;2020;5;No;US;US;Not precisely specified;US
Disease Progression Modeling Analysis of the Change of Bone Mineral Density by Postoperative Hormone Therapies in Postmenopausal Patients With Early Breast Cancer.;31172521;Yes;n/a;2019;13;No;KR;KR;Asan Medical Center;KR
Predictors of objectively measured physical activity in 12-month-old infants: A study of linked birth cohort data with electronic health records.;30729733;Yes;n/a;2019;;No;UK;UK;SAIL Databank;UK
Using applied machine learning to predict healthcare utilization based on socioeconomic determinants of care.;31951356;Yes;n/a;2020;;No;US;US;Multiple;US
The Needs and Benefits of Continuous Model Updates on the Accuracy of RT-Induced Toxicity Prediction Models Within a Learning Health System.;30300689;Yes;n/a;2019;;No;JP;US;Not precisely specified;US
Analyzing the performance of a blockchain-based personal health record implementation.;30844481;No (excluded in title and abstract screening);No medical research (no new insights with direct relevance to health);2019;;;;;;
Trends in Hospital Admissions for Intimate Partner Violence in Australian Mothers With Children Born From 1990 to 2009.;30813820;Yes;n/a;2021;;No;AU;AU;Western Australian Data Linkage System;AU
Estimating Uterine Fibroid SNP-Based Heritability in European American Women with Imaging-Confirmed Fibroids.;31480066;Yes;n/a;2019;2;No;US;US;Vanderbilt University Medical Center;US
Population-Based Linkage of Big Data in Dental Research.;30366416;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2018;;;;;;
Age-appropriate cancer screening: A cohort study of adults with psoriasis prescribed biologics, adults in the general population, and adults with hypertension.;33470207;Yes;n/a;2021;2;No;US;US;Optum;US
"Ten-year patient journey of stage III non-small cell lung cancer patients: A single-center, observational, retrospective study in Korea (Realtime autOmatically updated data warehOuse in healTh care; UNIVERSE-ROOT study).";32526601;Yes;n/a;2020;2;No;KR;KR;Not precisely specified;KR
Advancing In-Hospital Clinical Deterioration Prediction Models.;30173171;Yes;n/a;2018;;No;US;US;Not precisely specified;US
A Novel Patient Recruitment Strategy: Patient Selection Directly from the Community through Linkage to Clinical Data.;29444537;No (excluded in title and abstract screening);No medical research (no new insights with direct relevance to health);2018;;;;;;
Monitoring Rates of Malnutrition Risk in Outpatient Cancer Centers Utilizing the Malnutrition Screening Tool Embedded into the Electronic Health Record.;33309592;Yes;n/a;2021;4;No;US;US;Multiple;US
Application of Machine Learning Methods to Ambulatory Circadian Monitoring (ACM) for Discriminating Sleep and Circadian Disorders.;31920488;Yes;n/a;2019;5;No;ES;ES;University of Murcia;ES
Imaging and clinical data archive for head and neck squamous cell carcinoma patients treated with radiotherapy.;30179230;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2018;;;;;;
Linking 'data silos' to investigate anaemia among Aboriginal and Torres Strait Islander mothers and children in Far North Queensland.;30151954;No (excluded in title and abstract screening);No medical research (focus on data provision);2018;;;;;;
Neonatal sepsis registry: Time to antibiotic dataset.;31799346;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2019;;;;;;
At-risk registers integrated into primary care to stop asthma crises in the UK (ARRISA-UK): study protocol for a pragmatic, cluster randomised trial with nested health economic and process evaluations.;30157917;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2018;;;;;;
Zoster vaccination inequalities: A population based cohort study using linked data from the UK Clinical Practice Research Datalink.;30439975;Yes;n/a;2018;1;No;UK;UK;Clinical Practice Research Datalink;UK
Psychiatric comorbidity as a risk factor for the mortality of people with bulimia nervosa.;30756148;Yes;n/a;2019;5;No;UK;UK;South London and Maudsley NHS Foundation Trust;UK
Hospitalization for mental health related ambulatory care sensitive conditions: what are the trends for First Nations in British Columbia?;30285775;Yes;n/a;2018;5;No;CA;CA;Ministry of Health Services, University of British Columbia;CA
Immunotherapy Treatment Patterns and Outcomes Among ALK-Positive Patients With Non-Small-Cell Lung Cancer.;33250347;Yes;n/a;2021;2;No;US;US;Flatiron Health;US
Implementing a college mental health program - an overview of the first twelve months.;29601286;Yes;n/a;2019;5;No;US;US;University of California San Diego;US
Association Between Low-Density Lipoprotein Cholesterol Levels and Risk for Sepsis Among Patients Admitted to the Hospital With Infection.;30657536;Yes;n/a;2019;1;No;US;US;Vanderbilt University Medical Center;US
Detection of HIV transmission hotspots in British Columbia, Canada: A novel framework for the prioritization and allocation of treatment and prevention resources.;31628022;Yes;n/a;2019;1;No;CA;CA;British Columbia Centre for Excellence in HIV/AIDS;CA
Body Perception Disturbance and Pain Reduction in Longstanding Complex Regional Pain Syndrome Following a Multidisciplinary Rehabilitation Program.;31373373;Yes;n/a;2019;6;No;UK;UK;Royal National Hospital for Rheumatic Diseases;UK
The Veterans Affairs Precision Oncology Data Repository, a Clinical, Genomic, and Imaging Research Database.;33205130;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2020;;;;;;
Cascade Monitoring in Multidisciplinary Adolescent HIV Care Settings: Protocol for Utilizing Electronic Health Records.;31148543;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2019;;;;;;
Identifying patients with asthma-chronic obstructive pulmonary disease overlap syndrome using latent class analysis of electronic health record data: a study protocol.;29925836;No (excluded in full-paper screening);No real-world application (findings not based on real-world data);2018;;;;;;
Maternal health, pregnancy and birth outcomes for women involved in care proceedings in Wales: a linked data study.;33198668;Yes;n/a;2020;15;No;UK;UK;SAIL Databank;UK
Longitudinal Risk Prediction of Chronic Kidney Disease in Diabetic Patients Using a Temporal-Enhanced Gradient Boosting Machine: Retrospective Cohort Study.;32012067;Yes;n/a;2020;14;No;US;US;University of Kansas Medical Center;US
Metformin Use in Diabetes Prior to Hospitalization: Effects on Mortality in Covid-19.;33471718;Yes;n/a;2020;4;No;US;US;Wuhan Red Cross Hospital;CN
Adverse Childhood Experiences and Physical and Mental Health of Adults: Assessing the Mediating Role of Cumulative Life Course Poverty.;33356410;Yes;n/a;2021;5;No;US;US;University of Michigan;US
Attitudes of health professionals to using routinely collected clinical data for performance feedback and personalised professional development.;30927464;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2019;;;;;;
Polysubstance abuse associated with more frequent opioid use among patients in rural primary care settings.;32885836;No (not retrieved);Not retrieved;2020;;;;;;
Accuracy of High-Speed Video Analysis to Diagnose Primary Ciliary Dyskinesia.;30826306;No (excluded in title and abstract screening);No tabular data;2019;;;;;;
In-Hospital Therapy for Heart Failure With Reduced Ejection Fraction in the United States.;32800512;Yes;n/a;2020;9;No;US;US;Optum;US
Implementation and early adaptation of patient-reported outcome measures into an electronic health record: A technical report.;30516095;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2020;;;;;;
Rule-based and machine learning algorithms identify patients with systemic sclerosis accurately in the electronic health record.;31888720;Yes;n/a;2019;13;No;US;US;Vanderbilt University Medical Center;US
Clinical Decision Support for Hyperbilirubinemia Risk Assessment in the Electronic Health Record.;32058105;No (excluded in title and abstract screening);No medical research (no new insights with direct relevance to health);2020;;;;;;
Late-life depression in people from ethnic minority backgrounds: Differences in presentation and management.;32056770;Yes;n/a;2020;5;No;UK;UK;South London and Maudsley NHS Foundation Trust;UK
Circannual variation in relative weight of children 5 to 16 years of age.;29665291;Yes;n/a;2018;4;No;US;US;University of Wisconsin;US
Association of baseline systemic corticosteroid use with overall survival and time to next treatment in patients receiving immune checkpoint inhibitor therapy in real-world US oncology practice for advanced non-small cell lung cancer, melanoma, or urothelial carcinoma.;33101774;Yes;n/a;2020;2;No;US;DE;Flatiron Health;US
An early warning system for emerging drugs of concern in the emergency department: Protocol for the Western Australian Illicit Substance Evaluation (WISE) study.;30318770;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2019;;;;;;
Psoriatic arthritis treatment regimens, therapy duration and reasons for cessation in the biologics era: a multi-centre Australian study.;28730757;Yes;n/a;2018;13;No;AU;AU;Optimising Patient Outcomes in Australian Rheumatology ;AU
Can diffusion- and perfusion-weighted imaging alone accurately triage anterior circulation acute ischemic stroke patients to endovascular therapy?;29555872;No (excluded in title and abstract screening);No tabular data;2018;;;;;;
Influence of the residential environment on undergraduate students' health.;31796873;Yes;n/a;2020;;No;US;US;Not precisely specified;US
Generating Real-World Tumor Burden Endpoints from Electronic Health Record Data: Comparison of RECIST, Radiology-Anchored, and Clinician-Anchored Approaches for Abstracting Real-World Progression in Non-Small Cell Lung Cancer.;31140124;Yes;n/a;2019;2;No;US;US;Flatiron Health;US
Place of death in a small island state: a death certificate population study.;30659046;Yes;n/a;2020;;No;BE;BE;Central Statistical Office of Trinidad and Tobago;TT
HLA-A*32:01 is strongly associated with vancomycin-induced drug reaction with eosinophilia and systemic symptoms.;30776417;Yes;n/a;2019;3;No;US;US;Vanderbilt University Medical Center;US
Association of Nonsteroidal Anti-inflammatory Drug Prescriptions With Kidney Disease Among Active Young and Middle-aged Adults.;30768191;Yes;n/a;2019;14;No;US;US;U.S. Department of Defense;US
The side effect profile of Clozapine in real world data of three large mental health hospitals.;33290433;Yes;n/a;2020;5;No;UK;UK;Camden and Islington NHS Foundation Trust, Oxford Health NHS Foundation Trust, South London and Maudsley NHS Foundation Trust;UK
SemEHR: A general-purpose semantic search system to surface semantic data from clinical notes for tailored care, trial recruitment, and clinical research.;29361077;No (excluded in title and abstract screening);No medical research (focus on data provision);2018;;;;;;
Patterning in Patient Referral to and Uptake of a National Exercise Referral Scheme (NERS) in Wales From 2008 to 2017: A Data Linkage Study.;32498367;Yes;n/a;2020;;No;UK;UK;SAIL Databank;UK
