Title;Authors;PMID;Include;Reason for exclusion;Publishing year;Publishing month;Submission year;Submission month;Research data;Healthcare data;ICD-10 chapter;COVID-19 research;First author;Senior author;Data source;Data origin;Time-to-Publication
Rule-based and machine learning algorithms identify patients with systemic sclerosis accurately in the electronic health record.;Jamian L and Wheless L and Crofford LJ and Barnado A;31888720;Yes;;2019;12;2019;8;No;Yes;13;No;US;US;Vanderbilt University Medical Center;US;4.0
Exploring Older Adults' Strengths, Problems, and Wellbeing Using De-identified Electronic Health Record Data.;Gao G and Pieczkiewicz D and Kerr M and Lindquist R and Chi CL and Maganti S and Austin R and Kreitzer MJ and Todd K and Monsen KA;30815168;Yes;;2018;;na;na;No;Yes;;No;US;US;Not precisely specified;US;
Psychiatric healthcare resource utilization following initiation of aripiprazole once-monthly: a retrospective real-world study.;Waters HC and Touya M and Wee SN and Ng M and Thadani S and Surendran S and Rentería M and Rush AJ and Patel R and Sarkar J and Fitzgerald HM and Han X;36380678;No (excluded before screening);Outside the search period;2023;2;na;na;No;Yes;5;No;US;US;Holmusk Technologies;US;
The Astounding Breadth of Health Disparity: Phenome-Wide Effects of Race on Disease Risk.;Pulley JM and Jerome RN and Bernard GR and Shirey-Rice JK and Xu Y and Wilkins CH;32958289;Yes;;2021;4;2020;7;No;Yes;;Yes;US;US;Vanderbilt University Medical Center;US;9.0
Patients Prescribed Direct-Acting Oral Anticoagulants Have Low Risk of Postpolypectomy Complications.;Yu JX and Oliver M and Lin J and Chang M and Limketkai BN and Soetikno R and Bhattacharya J and Kaltenbach T;30503964;Yes;;2019;9;2018;4;No;Yes;11;No;US;US;Optum;US;17.0
Assessment of Potentially Inappropriate Prescribing of Opioid Analgesics Requiring Prior Opioid Tolerance.;Jeffery MM and Chaisson CE and Hane C and Rumanes L and Tucker J and Hang L and McCoy R and Chen CL and Bicket MC and Hooten WM and Larochelle M and Becker WC and Kornegay C and Racoosin JA and Sanghavi D;32293684;Yes;;2020;4;na;na;No;Yes;;No;US;US;Optum;US;
Phenotypic prevalence of obesity and metabolic syndrome among an underdiagnosed and underscreened population of over 50 million children and adults.;Kim EG and Kaelber DC;36147487;Yes;;2022;;2022;6;No;Yes;4;No;US;US;Epic Systems Corporation;US;
Are adults with autism receiving regular preventive dental services?;McNeil R and Bray KK and Mitchell TV and Pendleton C and Marchini L;35636432;No (excluded before screening);Outside the search period;2023;1;2022;3;No;Yes;5;No;US;US;University of Iowa;US;10.0
Feasibility of real-time capture of routine clinical data in the electronic health record: a hospital-based, observational service-evaluation study.;Bodagh N and Archbold RA and Weerackody R and Hawking MKD and Barnes MR and Lee AM and Janjuha S and Gutteridge C and Robson J and Timmis A;29523565;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2018;3;na;na;No;Yes;;;;;;;
Identifying the DEAD: Development and Validation of a Patient-Level Model to Predict Death Status in Population-Level Claims Data.;Reps JM and Rijnbeek PR and Ryan PB;31054141;Yes;;2019;11;na;na;No;Yes;;No;US;US;Optum;US;
Interplay between traumatic brain injury and intimate partner violence: data driven analysis utilizing electronic health records.;Liu LY and Bush WS and Koyutürk M and Karakurt G;33287806;Yes;;2020;12;2019;11;No;Yes;19;No;US;US;IBM;US;13.0
Kidney, limb and ophthalmic complications, and death in patients with nonvalvular atrial fibrillation and type 2 diabetes prescribed rivaroxaban or warfarin: an electronic health record analysis.;Costa OS and O'Donnell B and Vardar B and Abdelgawwad K and Brescia CW and Sood N and Coleman CI;34166150;Yes;;2021;9;na;na;No;Yes;9;No;US;US;Optum;US;
Decision support or autonomous artificial intelligence? The case of wrong blood in tube errors.;Farrell CL;34717051;Yes;;2022;11;2021;8;No;Yes;;No;AU;AU;Not precisely specified;AU;15.0
Analyzing the performance of a blockchain-based personal health record implementation.;Roehrs A and da Costa CA and da Rosa Righi R and da Silva VF and Goldim JR and Schmidt DC;30844481;No (excluded in title and abstract screening);No medical research (no new insights with direct relevance to health);2019;4;2018;10;No;Yes;;;;;;;6.0
Implementing a college mental health program - an overview of the first twelve months.;Downs N and Alderman T and Bhakta S and Greenwood TA;29601286;Yes;;2019;1;na;na;No;Yes;5;No;US;US;University of California San Diego;US;
Dynamic ElecTronic hEalth reCord deTection (DETECT) of individuals at risk of a first episode of psychosis: a case-control development and validation study.;Raket LL and Jaskolowski J and Kinon BJ and Brasen JC and Jönsson L and Wehnert A and Fusar-Poli P;33328055;Yes;;2020;5;2019;8;No;Yes;5;No;DK;GB;IBM;US;9.0
Spirometry use in Patients with Sickle Cell Disease with and without asthma and acute chest syndrome: A Multicenter Study.;Duckworth L and Black LV and Ezmigna D and Green J and Yao Y and Grannis S and Klann J and Applegate R and Lipori G and Wallace T and Wilkie DJ;32924025;Yes;;2020;7;na;na;No;Yes;3;No;US;US;Multiple;US;
Effectiveness and safety of rivaroxaban versus warfarin in obese nonvalvular atrial fibrillation patients: analysis of electronic health record data.;Costa OS and Beyer-Westendorf J and Ashton V and Milentijevic D and Moore KT and Bunz TJ and Coleman CI;32347755;Yes;;2020;7;na;na;No;Yes;9;No;US;US;Optum;US;
A step closer to nationwide electronic health record-based chronic disease surveillance: characterizing asthma prevalence and emergency department utilization from 100 million patient records through a novel multisite collaboration.;Tarabichi Y and Goyden J and Liu R and Lewis S and Sudano J and Kaelber DC;31592525;Yes;;2020;1;2019;3;No;Yes;10;No;US;US;Multiple;US;10.0
Development and validation of a mobile application based on a machine learning model to aid in predicting dosage of vitamin K antagonists among Indian patients post mechanical heart valve replacement.;Amruthlal M and Devika S and Krishnan V and Ameer Suhail PA and Menon AK and Thomas A and Thomas M and Sanjay G and Lakshmi Kanth LR and Jeemon P and Jose J and Harikrishnan S;36243102;Yes;;2022;11;2022;7;No;Yes;9;No;IN;IN;Sree Chitra Tirunal Institute for Medical Sciences and Technology;IN;4.0
Describing characteristics and treatment patterns of patients hospitalized with COVID-19 by race and ethnicity in a national RWD during the early months of the pandemic.;Vititoe SE and Easthausen IJ and Lasky T and Chakravarty A and Bradley MC and Roe LM and Gatto NM and Weckstein AR and Garry EM;36155644;Yes;;2022;;2021;12;No;Yes;22;Yes;US;US;Optum;US;
Novel Method of Atrial Fibrillation Case Identification and Burden Estimation Using the MIMIC-III Electronic Health Data Set.;Ding EY and Albuquerque D and Winter M and Binici S and Piche J and Bashar SK and Chon K and Walkey AJ and McManus DD;31354020;Yes;;2019;10;na;na;No;Yes;9;No;US;US;Massachusetts Institute of Technology;US;
Reduction in laboratory turnaround time decreases emergency room length of stay.;Kaushik N and Khangulov VS and O'Hara M and Arnaout R;29719423;Yes;;2018;;na;na;No;Yes;;No;US;US;Cerner Corporation;US;
Development of CancerLinQ, a Health Information Learning Platform From Multiple Electronic Health Record Systems to Support Improved Quality of Care.;Potter D and Brothers R and Kolacevski A and Koskimaki JE and McNutt A and Miller RS and Nagda J and Nair A and Rubinstein WS and Stewart AK and Trieb IJ and Komatsoulis GA;33104389;No (excluded in title and abstract screening);No medical research (focus on data provision);2020;10;na;na;No;Yes;;;;;;;
PheValuator: Development and evaluation of a phenotype algorithm evaluator.;Swerdel JN and Hripcsak G and Ryan PB;31369862;Yes;;2019;9;2019;4;No;Yes;9;No;US;US;Optum, IBM MarketScan;US;5.0
Real-World Trends in Characteristics of Patients with Migraine Newly Initiated on Erenumab in the USA: A Retrospective Analysis.;Fang J and Korrer S and Johnson JC and Cheadle MA and Shah R and Ferraris ML and Lopez-Lopez C;33763828;Yes;;2021;6;2020;12;No;Yes;6;No;US;CH;Optum;US;6.0
Mortality Prediction Analysis among COVID-19 Inpatients Using Clinical Variables and Deep Learning Chest Radiography Imaging Features.;Nguyen XV and Dikici E and Candemir S and Ball RL and Prevedello LM;35894016;Yes;;2022;7;2022;5;No;Yes;22;Yes;US;US;Stony Brook University;US;2.0
Bleeding Entity Recognition in Electronic Health Records: A Comprehensive Analysis of End-to-End Systems.;Mitra A and Rawat BPS and McManus D and Kapoor A and Yu H;33936461;No (excluded in title and abstract screening);No tabular data;2020;;na;na;No;Yes;;;;;;;
Estimating Uterine Fibroid SNP-Based Heritability in European American Women with Imaging-Confirmed Fibroids.;Bray MJ and Davis LK and Torstenson ES and Jones SH and Edwards TL and Velez Edwards DR;31480066;Yes;;2019;;2019;2;No;Yes;2;No;US;US;Vanderbilt University Medical Center;US;
Mining the Data: Exploring Rural Patients' Attitudes about the Use of Their Personal Information in Research.;McCormick JB and Hopkins M and Lehman EB and Green MJ;35271430;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2022;4;na;na;No;Yes;;;;;;;
Exploring the appropriateness of antibiotic prescribing for dental presentations in Australian general practice-A pilot study.;Teoh L and Hopcraft M and McCullough M and Manski-Nankervis JA and Biezen R;36440810;No (excluded before screening);Outside the search period;2023;5;2022;5;No;Yes;;;;;;;12.0
The Pediatric Emergency Care Applied Research Network Registry: A Multicenter Electronic Health Record Registry of Pediatric Emergency Care.;Deakyne Davies SJ and Grundmeier RW and Campos DA and Hayes KL and Bell J and Alessandrini EA and Bajaj L and Chamberlain JM and Gorelick MH and Enriquez R and Casper TC and Scheid B and Kittick M and Dean JM and Alpern ER;29791930;No (excluded in title and abstract screening);No medical research (focus on data provision);2018;4;na;na;No;Yes;;;;;;;
Embedding electronic health records onto a knowledge network recognizes prodromal features of multiple sclerosis and predicts diagnosis.;Nelson CA and Bove R and Butte AJ and Baranzini SE;34915552;Yes;;2022;1;2021;6;No;Yes;6;No;US;US;University of California San Francisco;US;7.0
Leveraging electronic health records to inform genetic counseling practice surrounding psychiatric disorders.;Richter LD and Morley TJ and Hooker GW and Peay HL and Cox NJ and Ruderfer DM;35191121;Yes;;2022;8;2021;7;No;Yes;5;No;US;US;Vanderbilt University Medical Center;US;13.0
Documenting or Operating: Where Is Time Spent in General Surgery Residency?;Cox ML and Farjat AE and Risoli TJ and Peskoe S and Goldstein BA and Turner DA and Migaly J;30522828;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2018;11;2018;4;No;Yes;;;;;;;7.0
A machine learning approach to identifying patients with pulmonary hypertension using real-world electronic health records.;Kogan E and Didden EM and Lee E and Nnewihe A and Stamatiadis D and Mataraso S and Quinn D and Rosenberg D and Chehoud C and Bridges C;36528138;No (excluded before screening);Outside the search period;2023;3;2022;6;No;Yes;9;No;US;US;Optum;US;9.0
Patient Preferences Regarding Informed Consent Models for Participation in a Learning Health Care System for Oncology.;Jones RD and Krenz C and Gornick M and Griffith KA and Spence R and Bradbury AR and De Vries R and Hawley ST and Hayward RA and Zon R and Bolte S and Sadeghi N and Schilsky RL and Jagsi R;32352881;No (excluded in title and abstract screening);No tabular data;2020;9;na;na;No;Yes;;;;;;;
Antidepressant treatment and blood pressure control in patients with comorbid depression and treatment resistant hypertension.;Breeden M and Gillis A and Salas J and Scherrer JF;34906849;No (not retrieved);Not retrieved;2022;2;2021;7;No;Yes;;;;;;;7.0
Development of a screening algorithm for borderline personality disorder using electronic health records.;Zang C and Goodman M and Zhu Z and Yang L and Yin Z and Tamas Z and Sharma VM and Wang F and Shao N;35831356;Yes;;2022;7;2022;2;No;Yes;5;No;US;US;Cerner Corporation;US;5.0
De-identifying Spanish medical texts - named entity recognition applied to radiology reports.;Pérez-Díez I and Pérez-Moraga R and López-Cerdán A and Salinas-Serrano JM and la Iglesia-Vayá M;33781334;No (excluded in title and abstract screening);No medical research (focus on anonymization);2021;3;2020;4;No;Yes;;;;;;;11.0
Parsing clinical text using the state-of-the-art deep learning based parsers: a systematic comparison.;Zhang Y and Tiryaki F and Jiang M and Xu H;30943955;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2019;4;na;na;No;Yes;;;;;;;
Recruitment of patients with Chronic Obstructive Pulmonary Disease (COPD) from the Clinical Practice Research Datalink (CPRD) for research.;Quint JK and Moore E and Lewis A and Hashmi M and Sultana K and Wright M and Smeeth L and Chatzidiakou L and Jones R and Beevers S and Kolozali S and Kelly F and Barratt B;29921879;Yes;;2018;6;2017;11;Yes;Yes;10;No;GB;GB;Clinical Practice Research Datalink;GB;7.0
Rivaroxaban Versus Warfarin in African American Patients with Nonvalvular Atrial Fibrillation.;Coleman CI and Thompson S and Ashton V and Palladino M and Bunz TJ;32493618;Yes;;2020;8;2019;12;No;Yes;9;No;US;US;Optum;US;8.0
Assessing Oncologists' Adoption of Biomarker Testing in Metastatic Colorectal Cancer Using Real-World Data.;Iyer P and Deng M and Handorf EA and Nakhoda S and Dotan E;36149298;Yes;;2022;11;2022;4;No;Yes;2;No;US;US;Flatiron Health;US;7.0
Real World Outcomes in Patients With Relapsed/Refractory Diffuse Large B-cell Lymphoma Receiving Palliative Intent Therapies.;Ayers EC and Margolis D and Landsburg DJ;32576502;Yes;;2020;10;2020;4;No;Yes;2;No;US;US;Flatiron Health;US;6.0
Clinical Features Observed in General Practice Associated With the Subsequent Diagnosis of Progressive Supranuclear Palsy.;Kwasny MJ and Oleske DM and Zamudio J and Diegidio R and Höglinger GU;33967937;Yes;;2021;4;2020;12;No;Yes;6;No;GB;DE;Disease Analyzer, IQVIA / Multiple;DE;4.0
Perioperative Mortality Following Bariatric Surgery in Australia.;Davis S and Babidge W and Kiermeier A and Aitken R and Maddern G;29110242;Yes;;2018;5;na;na;No;Yes;4;No;AU;AU;Australian Institute of Health and Welfare;AU;
Effect of Public Deliberation on Patient Attitudes Regarding Consent and Data Use in a Learning Health Care System for Oncology.;Jagsi R and Griffith KA and Jones RD and Krenz C and Gornick M and Spence R and De Vries R and Hawley ST and Zon R and Bolte S and Sadeghi N and Schilsky RL and Bradbury AR;31577472;No (excluded in title and abstract screening);Anonymous survey;2019;12;na;na;No;Yes;;;;;;;
A retrospective analysis of treatment and retention outcomes of pregnant and/or parenting women with opioid use disorder.;Lopian KM and Chebolu E and Kulak JA and Kahn LS and Blondell RD;30577894;Yes;;2019;2;2018;7;No;Yes;5;No;US;US;Not precisely specified;US;7.0
Characterizing posttraumatic stress disorder in primary care using electronic medical records: a retrospective cohort study.;Muthumuni D and Kosowan L and Katz A and Richardson J and Queenan J and Zafari H and Singer A and Williamson T and Zulkernine F and Wolfrom B and Sareen J;35904800;No (excluded in full-paper screening);Abstract only;2022;4;na;na;No;Yes;;;;;;;
Identifying patients with asthma-chronic obstructive pulmonary disease overlap syndrome using latent class analysis of electronic health record data: a study protocol.;Al Sallakh MA and Rodgers SE and Lyons RA and Sheikh A and Davies GA;29925836;No (excluded in full-paper screening);4a (Protocol);2018;6;2017;10;No;Yes;10;No;GB;GB;?;GB;8.0
Association Between Number of Actionable Pharmacogenetic Variants and Length of Hospital Stay.;Finkelstein J and Zhang F and Cabrera M;32604634;Yes;;2020;6;na;na;No;Yes;;No;US;US;eMERGE;US;
A new approach to identifying patients with elevated risk for Fabry disease using a machine learning algorithm.;Jefferies JL and Spencer AK and Lau HA and Nelson MW and Giuliano JD and Zabinski JW and Boussios C and Curhan G and Gliklich RE and Warnock DG;34930374;Yes;;2021;12;2021;7;No;Yes;4;No;US;US;OM1;US;5.0
Systematically Prioritizing Candidates in Genome-Based Drug Repurposing.;Challa AP and Lavieri RR and Lewis JT and Zaleski NM and Shirey-Rice JK and Harris PA and Aronoff DM and Pulley JM;31769998;Yes;;2019;;na;na;No;Yes;;No;US;US;Vanderbilt University Medical Center;US;
A two-site survey of medical center personnel's willingness to share clinical data for research: implications for reproducible health NLP research.;Weng C and Friedman C and Rommel CA and Hurdle JF;30943963;No (excluded in title and abstract screening);No medical research (no new insights with direct relevance to health);2019;4;na;na;No;Yes;;;;;;;
Influence of the residential environment on undergraduate students' health.;Cedeno Laurent JG and Allen JG and McNeely E and Dominici F and Spengler JD;31796873;Yes;;2020;3;2019;4;No;Yes;;No;US;US;Not precisely specified;US;11.0
External control cohorts for the single-arm LIBRETTO-001 trial of selpercatinib in RET+ non-small-cell lung cancer.;Rolfo C and Hess LM and Jen MH and Peterson P and Li X and Liu H and Lai Y and Sugihara T and Kiiskinen U and Vickers A and Summers Y;35930972;Yes;;2022;8;2022;5;Yes;No;2;No;US;GB;Flatiron Health;;3.0
SemEHR: A general-purpose semantic search system to surface semantic data from clinical notes for tailored care, trial recruitment, and clinical research.;Wu H and Toti G and Morley KI and Ibrahim ZM and Folarin A and Jackson R and Kartoglu I and Agrawal A and Stringer C and Gale D and Gorrell G and Roberts A and Broadbent M and Stewart R and Dobson RJB;29361077;No (excluded in title and abstract screening);No medical research (focus on data provision);2018;5;2017;10;No;Yes;;;;;;;7.0
Long-Term Real-World Outcomes of First-Line Pembrolizumab Monotherapy for Metastatic Non-Small Cell Lung Cancer With ≥50% Expression of Programmed Cell Death-Ligand 1.;Velcheti V and Hu X and Yang L and Pietanza MC and Burke T;35402266;Yes;;2022;;2021;12;No;Yes;2;No;US;US;Flatiron Health;US;
Real World Long-term Assessment of The Efficacy of Tocilizumab in Patients with COVID-19: Results From A Large De-identified Multicenter Electronic Health Record Dataset in the United States.;Nigo M and Rasmy L and May SB and Rao A and Karimaghaei S and Kannadath BS and De la Hoz A and Arias CA and Li L and Zhi D;34597766;Yes;;2021;12;2021;5;No;Yes;22;Yes;US;US;Cerner Corporation;US;7.0
COVID-19 severity and outcome in multiple sclerosis: Results of a national, registry-based, matched cohort study.;Pérez CA and Zhang GQ and Li X and Huang Y and Lincoln JA and Samudralwar RD and Gupta RK and Lindsey JW;34418735;Yes;;2021;10;2021;3;No;Yes;6;Yes;US;US;Optum;US;7.0
Assessing the impact of specialist home visiting upon maltreatment in England: a feasibility study of data linkage from a public health trial to routine health and social care data.;Lugg-Widger F and Cannings-John R and Angel L and Moody G and Segrott J and Kenkre J and Robling M;29988307;No (excluded in title and abstract screening);No medical research (focus on anonymization);2018;;2018;2;Yes;Yes;;;;;;;
Generating Real-World Tumor Burden Endpoints from Electronic Health Record Data: Comparison of RECIST, Radiology-Anchored, and Clinician-Anchored Approaches for Abstracting Real-World Progression in Non-Small Cell Lung Cancer.;Griffith SD and Tucker M and Bowser B and Calkins G and Chang CJ and Guardino E and Khozin S and Kraut J and You P and Schrag D and Miksad RA;31140124;Yes;;2019;8;2019;3;No;Yes;2;No;US;US;Flatiron Health;US;5.0
Transporting observational study results to a target population of interest using inverse odds of participation weighting.;Ling AY and Jreich R and Montez-Rath ME and Meng Z and Kapphahn K and Chandross KJ and Desai M;36520950;Yes;;2022;;2021;8;No;Yes;2;No;US;US;Flatiron Health;US;
Chest Pain, Atherosclerotic Cardiovascular Disease Risk, and Cardiology Referral in Primary Care.;Buch V and Ralph H and Salas J and Hauptman PJ and Davis D and Scherrer JF;29756524;Yes;;2018;1;na;na;No;Yes;9;No;US;US;Not precisely specified;US;
Healthcare cost of patients with multiple chronic diseases in Singapore public primary care setting.;Tan SY and Lew KJ and Xie Y and Lee PSS and Koh HL and Ding YY and Lee ES;34877584;Yes;;2021;11;na;na;No;Yes;9;No;SG;SG;National Healthcare Group Polyclinics;SG;
J-CKD-DB: a nationwide multicentre electronic health record-based chronic kidney disease database in Japan.;Nakagawa N and Sofue T and Kanda E and Nagasu H and Matsushita K and Nangaku M and Maruyama S and Wada T and Terada Y and Yamagata K and Narita I and Yanagita M and Sugiyama H and Shigematsu T and Ito T and Tamura K and Isaka Y and Okada H and Tsuruya K and Yokoyama H and Nakashima N and Kataoka H and Ohe K and Okada M and Kashihara N;32355258;Yes;;2020;4;2020;3;No;Yes;14;No;JP;JP;Multiple;JP;1.0
Real-world effectiveness, its predictors and onset of action of cholinesterase inhibitors and memantine in dementia: retrospective health record study.;Vaci N and Koychev I and Kim CH and Kormilitzin A and Liu Q and Lucas C and Dehghan A and Nenadic G and Nevado-Holgado A;32713359;Yes;;2021;5;na;na;No;Yes;5;No;GB;GB;Oxford Health NHS Foundation Trust,  Southern Health NHS Foundation Trust;GB;
Artificial Intelligence for Prognostic Scores in Oncology: a Benchmarking Study.;Loureiro H and Becker T and Bauer-Mehren A and Ahmidi N and Weberpals J;33937744;Yes;;2021;;2020;11;Yes;Yes;2;No;DE;DE;Flatiron Health;US;
Identifying musculoskeletal conditions in electronic medical records: a prevalence and validation study using the Deliver Primary Healthcare Information (DELPHI) database.;Ryan BL and Maddocks HL and McKay S and Petrella R and Terry AL and Stewart M;31053119;Yes;;2019;5;2018;9;No;Yes;13;No;CA;CA;The University of Western Ontario;CA;8.0
Interrogating an ICD-coded electronic health records database to characterize the epidemiology of prosopagnosia.;Pressl C and Jiang CS and Correa da Rosa J and Friedrich M and Vaughan R and Freiwald WA and Tobin JN;33948237;Yes;;2020;6;na;na;No;Yes;18;No;US;US;Multiple;US;
Approach to record linkage of primary care data from Clinical Practice Research Datalink to other health-related patient data: overview and implications.;Padmanabhan S and Carty L and Cameron E and Ghosh RE and Williams R and Strongman H;30219957;No (excluded in title and abstract screening);No medical research (focus on anonymization);2019;1;2018;2;Yes;Yes;;;;;;;11.0
Diagnostic Algorithms to Study Post-Concussion Syndrome Using Electronic Health Records: Validating a Method to Capture an Important Patient Population.;Dennis J and Yengo-Kahn AM and Kirby P and Solomon GS and Cox NJ and Zuckerman SL;30773988;Yes;;2019;7;na;na;No;Yes;5;No;US;US;Vanderbilt University Medical Center;US;
Factors Associated with Thoughts of Self-Harm or Suicide among Aboriginal and Torres Strait Islander People Presenting to Urban Primary Care: An Analysis of De-Identified Clinical Data.;Pandeya NA and Schluter PJ and Spurling GK and Tyson C and Hayman NE and Askew DA;35010413;Yes;;2021;12;2021;11;No;Yes;5;No;AU;AU;Southern Queensland Centre of Excellence in Aboriginal and Torres Strait Islander Primary Health Care;AU;1.0
Measuring text similarity and its associated factors in electronic nursing progress notes: A retrospective review.;Shala DR and Sheppard-Law S;35581712;No (excluded before screening);Outside the search period;2023;6;2021;12;No;Yes;;;;;;;18.0
Variation in Documenting Diagnosable Chronic Kidney Disease in General Medical Practice: Implications for Quality Improvement and Research.;Kitsos A and Peterson GM and Jose MD and Khanam MA and Castelino RL and Radford JC;30879383;Yes;;2019;1;na;na;No;Yes;14;No;AU;AU;NPS MedicineWise;AU;
Validation of data submitted by the treating surgeon in the Victorian Audit of Surgical Mortality.;Hansen D and Hansen E and Retegan C and Morphet J and Beiles CB;30497110;Yes;;2019;1;2018;9;No;Yes;;No;AU;AU;Victorian Audit of Surgical Mortality;AU;4.0
Machine Learning and Feature Selection Applied to SEER Data to Reliably Assess Thyroid Cancer Prognosis.;Mourad M and Moubayed S and Dezube A and Mourad Y and Park K and Torreblanca-Zanca A and Torrecilla JS and Cancilla JC and Wang J;32198433;Yes;;2020;3;2019;3;No;Yes;2;No;US;US;National Cancer Institute;US;12.0
Prenatal, Obstetric and Perinatal Factors Associated With the Development of Childhood-Onset Type 2 Diabetes.;Halipchuk J and Temple B and Dart A and Martin D and Sellers EAC;28583472;Yes;;2018;2;2017;1;No;Yes;4;No;CA;CA;Manitoba Centre for Health Policy;CA;13.0
Improving the phenotype risk score as a scalable approach to identifying patients with Mendelian disease.;Bastarache L and Hughey JJ and Goldstein JA and Bastraache JA and Das S and Zaki NC and Zeng C and Tang LA and Roden DM and Denny JC;31609419;Yes;;2019;12;2019;3;No;Yes;;No;US;US;Vanderbilt University Medical Center;US;9.0
Understanding Flares in Patients With Generalized Pustular Psoriasis Documented in US Electronic Health Records.;Zema CL and Valdecantos WC and Weiss J and Krebs B and Menter AM;35947363;Yes;;2022;10;na;na;No;Yes;12;No;US;US;Optum;US;
Early risk assessment for COVID-19 patients from emergency department data using machine learning.;Heldt FS and Vizcaychipi MP and Peacock S and Cinelli M and McLachlan L and Andreotti F and Jovanović S and Dürichen R and Lipunova N and Fletcher RA and Hancock A and McCarthy A and Pointon RA and Brown A and Eaton J and Liddi R and Mackillop L and Tarassenko L and Khan RT;33603086;Yes;;2021;2;2020;6;No;Yes;22;Yes;GB;GB;Chelsea and Westminster NHS Foundation Trust;GB;8.0
Validation analysis of a composite real-world mortality endpoint for patients with cancer in the United States.;Zhang Q and Gossai A and Monroe S and Nussbaum NC and Parrinello CM;33998685;Yes;;2021;12;2020;9;No;Yes;5;No;US;US;Flatiron Health;US;15.0
'Real time' monitoring of antipsychotic prescribing in patients with dementia: a study using the Clinical Record Interactive Search (CRIS) platform to enhance safer prescribing.;Colling C and Mueller C and Perera G and Funnell N and Sauer J and Harwood D and Stewart R and Bishara D;32229485;Yes;;2020;3;2019;7;No;Yes;5;No;GB;GB;South London and Maudsley NHS Foundation Trust;GB;8.0
Treatment patterns and outcomes for patients with advanced melanoma in US oncology clinical practices.;Whitman ED and Liu FX and Cao X and Diede SJ and Haiderali A and Abernethy AP;30251550;Yes;;2019;2;na;na;No;Yes;2;No;US;US;Flatiron Health;US;
Achieving quality primary care data: a description of the Canadian Primary Care Sentinel Surveillance Network data capture, extraction, and processing in Alberta.;Garies S and Cummings M and Forst B and McBrien K and Soos B and Taylor M and Drummond N and Manca D and Duerksen K and Quan H and Williamson T;34095540;No (excluded in title and abstract screening);No medical research (no new insights with direct relevance to health);2019;7;na;na;No;Yes;;;;;;;
A cloud-based bioinformatic analytic infrastructure and Data Management Core for the Expanded Program on Immunization Consortium.;Vignolo SM and Diray-Arce J and McEnaney K and Rao S and Shannon CP and Idoko OT and Cole F and Darboe A and Cessay F and Ben-Othman R and Tebbutt SJ and Kampmann B and Levy O and Ozonoff A;33948273;No (excluded in title and abstract screening);No medical research (no new insights with direct relevance to health);2020;9;na;na;No;Yes;;;;;;;
Frequency and phenotype consequence of APOC3 rare variants in patients with very low triglyceride levels.;Crawford DC and Restrepo NA and Diggins KE and Farber-Eger E and Wells QS;30255797;Yes;;2018;9;na;na;No;Yes;9;No;US;US;Vanderbilt University Medical Center;US;
United Kingdom Diabetic Retinopathy Electronic Medical Record (UK DR EMR) Users Group: report 4, real-world data on the impact of deprivation on the presentation of diabetic eye disease at hospital services.;Denniston AK and Lee AY and Lee CS and Crabb DP and Bailey C and Lip PL and Taylor P and Pikoula M and Cook E and Akerele T and Antcliff R and Brand C and Chakravarthy U and Chavan R and Dhingra N and Downey L and Eleftheriadis H and Ghanchi F and Khan R and Kumar V and Lobo A and Lotery A and Menon G and Mukherjee R and Palmer H and Patra S and Paul B and Sim DA and Talks JS and Wilkinson E and Tufail A and Egan CA;30269098;Yes;;2019;6;2018;5;No;Yes;4;No;GB;GB;Multiple;GB;13.0
Disparities in Tumor Mutational Burden, Immunotherapy Use, and Outcomes Based on Genomic Ancestry in Non-Small-Cell Lung Cancer.;Brawley OW and Luhn P and Reese-White D and Ogbu UC and Madhavan S and Wilson G and Cox M and Ewing A and Hammer C and Richie N;34752134;Yes;;2021;9;na;na;No;Yes;2;No;US;US;Flatiron Health;US;
Using a community-engaged health informatics approach to develop a web analytics research platform for sharing data with community stakeholders.;Wang KH and Marenco L and Madera JE and Aminawung JA and Wang EA and Cheung KH;29854242;No (excluded before screening);Outside the search period;2017;;na;na;Yes;Yes;;;;;;;
The development an artificial intelligence algorithm for early sepsis diagnosis in the intensive care unit.;Yuan KC and Tsai LW and Lee KH and Cheng YW and Hsu SC and Lo YS and Chen RJ;32485555;Yes;;2020;9;2020;1;No;Yes;1;No;TW;TW;Taipei Medical University Hospital;TW;8.0
Inequalities in coverage of COVID-19 vaccination: A population register based cross-sectional study in Wales, UK.;Perry M and Akbari A and Cottrell S and Gravenor MB and Roberts R and Lyons RA and Bedston S and Torabi F and Griffiths L;34544601;Yes;;2021;10;2021;5;No;Yes;22;Yes;GB;GB;SAIL Databank;GB;5.0
EMR Coding with Semi-Parametric Multi-Head Matching Networks.;Rios A and Kavuluru R;30148288;No (excluded in title and abstract screening);No medical research (no new insights with direct relevance to health);2018;6;na;na;No;Yes;;;;;;;
Impact of an ambulatory care pharmacist on provider relative value units in a rural clinic.;DeRemer CE and Perez NA and Middleton K and Konopack J and Dietrich E;35478518;Yes;;2022;3;2021;11;No;Yes;;No;US;US;Not precisely specified;US;4.0
