Title;Authors;PMID;Include;Reason for exclusion;Publishing year;ICD-10 chapter;COVID-19 research;First author;Senior author;Data source;Data origin;Data origin (World Bank income group)
Characteristics and Health Care Utilization of Different Segments of a Multiethnic Asian Population in Singapore.;Yan S and Kwan YH and Thumboo J and Low LL;31490539;Yes;n/a;2019;;No;SG;SG;Ministry of Health Singapore;SG;High-income economies
Demography and disorders of the French Bulldog population under primary veterinary care in the UK in 2013.;O'Neill DG and Baral L and Church DB and Brodbelt DC and Packer RMA;29750111;No (excluded in title and abstract screening);No medical research (no new insights with direct relevance to health);2018;;;;;;;
Renin-Angiotensin-Aldosterone System Modulates Blood Pressure Response During Vascular Endothelial Growth Factor Receptor Inhibition.;Bottinor WJ and Shuey MM and Manouchehri A and Farber-Eger EH and Xu M and Nair D and Salem JE and Wang TJ and Brittain EL;32984850;Yes;n/a;2019;9;No;US;US;Vanderbilt University Medical Center;US;High-income economies
The development an artificial intelligence algorithm for early sepsis diagnosis in the intensive care unit.;Yuan KC and Tsai LW and Lee KH and Cheng YW and Hsu SC and Lo YS and Chen RJ;32485555;Yes;n/a;2020;1;No;TW;TW;Taipei Medical University Hospital;TW;High-income economies
Chest Pain, Atherosclerotic Cardiovascular Disease Risk, and Cardiology Referral in Primary Care.;Buch V and Ralph H and Salas J and Hauptman PJ and Davis D and Scherrer JF;29756524;Yes;n/a;2018;9;No;US;US;Not precisely specified;US;High-income economies
Validation of diagnosis codes to identify side of colon in an electronic health record registry.;Luhn P and Kuk D and Carrigan G and Nussbaum N and Sorg R and Rohrer R and Tucker MG and Arnieri B and Taylor MD and Meropol NJ;31426736;Yes;n/a;2019;2;No;US;US;Flatiron Health;US;High-income economies
Circumcision registry promotes precise research and fosters informed parental decisions.;Van Howe RS and Frisch M and Adler PW and Svoboda JS;30626392;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2019;;;;;;;
Identification of Semantically Similar Sentences in Clinical Notes: Iterative Intermediate Training Using Multi-Task Learning.;Mahajan D and Poddar A and Liang JJ and Lin YT and Prager JM and Suryanarayanan P and Raghavan P and Tsou CH;33245284;No (excluded in title and abstract screening);No tabular data;2020;;;;;;;
A retrospective analysis of treatment and retention outcomes of pregnant and/or parenting women with opioid use disorder.;Lopian KM and Chebolu E and Kulak JA and Kahn LS and Blondell RD;30577894;Yes;n/a;2019;5;No;US;US;Not precisely specified;US;High-income economies
Prevalence of SARS-CoV-2 antibodies in a large nationwide sample of patients on dialysis in the USA: a cross-sectional study.;Anand S and Montez-Rath M and Han J and Bozeman J and Kerschmann R and Beyer P and Parsonnet J and Chertow GM;32987007;Yes;n/a;2020;22;Yes;US;US;Ascend Clinical;US;High-income economies
Impact of Primary Tracheoesophageal Puncture on Outcomes after Total Laryngectomy.;Panwar A and Militsakh O and Lindau R and Coughlin A and Sayles H and Rieke KR and Lydiatt W and Lydiatt D and Smith R;28809132;Yes;n/a;2018;10;No;US;US;Multiple;US;High-income economies
An Empirical Test of GRUs and Deep Contextualized Word Representations on De-Identification.;Lee K and Filannino M and Uzuner Ö;31437917;No (excluded in title and abstract screening);No medical research (focus on anonymization);2019;;;;;;;
Concealment and discovery: The role of information security in biomedical data re-use.;Tempini N and Leonelli S;30322372;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2018;;;;;;;
Documenting or Operating: Where Is Time Spent in General Surgery Residency?;Cox ML and Farjat AE and Risoli TJ and Peskoe S and Goldstein BA and Turner DA and Migaly J;30522828;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2018;;;;;;;
First-line immune checkpoint inhibitor use in cisplatin-eligible patients with advanced urothelial carcinoma: a secular trend analysis.;Parikh RB and Feld EK and Galsky MD and Adamson BJ and Cohen AB and Baxi SS and Boursi SB and Christodouleas JP and Vaughn DJ and Meropol NJ and Mamtani R;31840537;Yes;n/a;2020;2;No;US;US;Flatiron Health;US;High-income economies
The impact of the Affordable Care Act on provision of endodontic services within a dental school setting in Oregon.;Peck J and Sedgley CM and Schwarz E and Replogle KJ;31020668;Yes;n/a;2019;;No;US;US;Oregon Health and Science University;US;High-income economies
Impact of the Four-Hour Rule in Western Australian hospitals: Trend analysis of a large record linkage study 2002-2013.;Ngo H and Forero R and Mountain D and Fatovich D and Man WN and Sprivulis P and Mohsin M and Toloo S and Celenza A and Fitzgerald G and McCarthy S and Hillman K;29538401;Yes;n/a;2018;;No;AU;AU;Western Australian Data Linkage System;AU;High-income economies
RD-RAP: beyond rare disease patient registries, devising a comprehensive data and analytic framework.;Bellgard MI and Snelling T and McGree JM;31300021;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2019;;;;;;;
Exo-anal imaging of the anal sphincter: a comparison between introital and transperineal image acquisition.;Cattani L and Van Schoubroeck D and Housmans S and Callewaert G and Werbrouck E and Verbakel JY and Deprest J;31802159;No (excluded in title and abstract screening);No tabular data;2020;;;;;;;
Development of Phenotyping Algorithms for the Identification of Organ Transplant Recipients: Cohort Study.;Wheless L and Baker L and Edwards L and Anand N and Birdwell K and Hanlon A and Chren MM;33156808;Yes;n/a;2020;;No;US;US;Vanderbilt University Medical Center;US;High-income economies
Scalable and accurate deep learning with electronic health records.;Rajkomar A and Oren E and Chen K and Dai AM and Hajaj N and Hardt M and Liu PJ and Liu X and Marcus J and Sun M and Sundberg P and Yee H and Zhang K and Zhang Y and Flores G and Duggan GE and Irvine J and Le Q and Litsch K and Mossin A and Tansuwan J and Wang D and Wexler J and Wilson J and Ludwig D and Volchenboum SL and Chou K and Pearson M and Madabushi S and Shah NH and Butte AJ and Howell MD and Cui C and Corrado GS and Dean J;31304302;Yes;n/a;2018;;No;US;US;University of California San Francisco, University of Chicago Medicine;US;High-income economies
Rivaroxaban Versus Warfarin for Management of Obese African Americans With Non-Valvular Atrial Fibrillation or Venous Thromboembolism: A Retrospective Cohort Analysis.;Costa OS and Beyer-Westendorf J and Ashton V and Milentijevic D and Moore KT and Bunz TJ and Coleman CI;33085526;Yes;n/a;2020;9;No;US;US;Optum;US;High-income economies
Juvenile-onset and adult-onset demodicosis in dogs in the UK: prevalence and breed associations.;O'Neill DG and Turgoose E and Church DB and Brodbelt DC and Hendricks A;31584708;No (excluded in title and abstract screening);No medical research (no new insights with direct relevance to health);2020;;;;;;;
The Pediatric Emergency Care Applied Research Network Registry: A Multicenter Electronic Health Record Registry of Pediatric Emergency Care.;Deakyne Davies SJ and Grundmeier RW and Campos DA and Hayes KL and Bell J and Alessandrini EA and Bajaj L and Chamberlain JM and Gorelick MH and Enriquez R and Casper TC and Scheid B and Kittick M and Dean JM and Alpern ER;29791930;No (excluded in title and abstract screening);No medical research (focus on data provision);2018;;;;;;;
Rivaroxaban versus warfarin for treatment and prevention of recurrence of venous thromboembolism in African American patients: a retrospective cohort analysis.;Costa OS and Thompson S and Ashton V and Palladino M and Bunz TJ and Coleman CI;32292291;Yes;n/a;2020;9;No;US;US;Optum;US;High-income economies
Predictors of severe relapse in pregnant women with psychotic or bipolar disorders.;Taylor CL and Broadbent M and Khondoker M and Stewart RJ and Howard LM;30015264;Yes;n/a;2018;5;No;UK;UK;South London and Maudsley NHS Foundation Trust;UK;High-income economies
Greyhounds under general veterinary care in the UK during 2016: demography and common disorders.;O'Neill DG and Rooney NJ and Brock C and Church DB and Brodbelt DC and Pegram C;31179010;No (excluded in title and abstract screening);No medical research (no new insights with direct relevance to health);2019;;;;;;;
Prediction of Discharge Destination following Laryngectomy.;Panwar A and Wang F and Lindau R and Militsakh O and Coughlin A and Smith R and Sayles H and Lydiatt D and Lydiatt W;30126321;Yes;n/a;2018;;No;US;US;Multiple;US;High-income economies
Real World Outcomes in Patients With Relapsed/Refractory Diffuse Large B-cell Lymphoma Receiving Palliative Intent Therapies.;Ayers EC and Margolis D and Landsburg DJ;32576502;Yes;n/a;2020;2;No;US;US;Flatiron Health;US;High-income economies
An Exploratory Analysis of Real-World End Points for Assessing Outcomes Among Immunotherapy-Treated Patients With Advanced Non-Small-Cell Lung Cancer.;Stewart M and Norden AD and Dreyer N and Henk HJ and Abernethy AP and Chrischilles E and Kushi L and Mansfield AS and Khozin S and Sharon E and Arunajadai S and Carnahan R and Christian JB and Miksad RA and Sakoda LC and Torres AZ and Valice E and Allen J;31335166;Yes;n/a;2019;2;No;US;US;Optum, Flatiron;US;High-income economies
The French glioblastoma biobank (FGB): a national clinicobiological database.;Clavreul A and Soulard G and Lemée JM and Rigot M and Fabbro-Peray P and Bauchet L and Figarella-Branger D and Menei P;31014363;No (excluded in title and abstract screening);No medical research (focus on data provision);2019;;;;;;;
Frequency and phenotype consequence of APOC3 rare variants in patients with very low triglyceride levels.;Crawford DC and Restrepo NA and Diggins KE and Farber-Eger E and Wells QS;30255797;Yes;n/a;2018;9;No;US;US;Vanderbilt University Medical Center;US;High-income economies
Pembrolizumab Utilization and Outcomes for Advanced Melanoma in US Community Oncology Practices.;Cowey CL and Liu FX and Black-Shinn J and Stevinson K and Boyd M and Frytak JR and Ebbinghaus SW;29252916;Yes;n/a;2018;2;No;US;US;US Oncology Network ;US;High-income economies
Validation of an algorithm using inpatient electronic health records to determine the presence and severity of cirrhosis in patients with hepatocellular carcinoma in England: an observational study.;Driver RJ and Balachandrakumar V and Burton A and Shearer J and Downing A and Cross T and Morris E and Rowe IA;31292182;Yes;n/a;2019;11;No;UK;UK;Leeds Teaching Hospitals NHS Trust;UK;High-income economies
Accelerating ophthalmic artificial intelligence research: the role of an open access data repository.;Kras A and Celi LA and Miller JB;32740059;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2020;;;;;;;
Evaluation of repositories for sharing individual-participant data from clinical studies.;Banzi R and Canham S and Kuchinke W and Krleza-Jeric K and Demotes-Mainard J and Ohmann C;30876434;No (excluded in title and abstract screening);No medical research (focus on data provision);2019;;;;;;;
Incidence Rate of Herpes Zoster Ophthalmicus: A Retrospective Cohort Study from 1994 through 2018.;Kong CL and Thompson RR and Porco TC and Kim E and Acharya NR;31668889;Yes;n/a;2020;1;No;US;US;Optum;US;High-income economies
Real-world data suggest antibody positivity to SARS-CoV-2 is associated with a decreased risk of future infection.;Harvey RA and Rassen JA and Kabelac CA and Turenne W and Leonard S and Klesh R and Meyer WA 3rd and Kaufman HW and Anderson S and Cohen O and Petkov VI and Cronin KA and Van Dyke AL and Lowy DR and Sharpless NE and Penberthy LT;33354682;No (excluded before screening);preprint;2020;;;;;;;
Medical knowledge infused convolutional neural networks for cohort selection in clinical trials.;Chen CJ and Warikoo N and Chang YC and Chen JH and Hsu WL;31390470;No (excluded in title and abstract screening);No medical research (no new insights with direct relevance to health);2019;;;;;;;
Lack of a Tricuspid Regurgitation Doppler Signal and Pulmonary Hypertension by Invasive Measurement.;O'Leary JM and Assad TR and Xu M and Farber-Eger E and Wells QS and Hemnes AR and Brittain EL;29960993;Yes;n/a;2018;9;No;US;US;Vanderbilt University Medical Center;US;High-income economies
Local genetic ancestry in CDKN2B-AS1 is associated with primary open-angle glaucoma in an African American cohort extracted from de-identified electronic health records.;Restrepo NA and Laper SM and Farber-Eger E and Crawford DC;30255811;Yes;n/a;2018;7;No;US;US;Vanderbilt University Medical Center;US;High-income economies
Adolescent Nocturnal Fears: a psychometric evaluation of the fear of sleep inventory (FoSI).;Hall Brown TS and Garcia E and Akeeb A and Lynch-Jiles AC and White D and Young M;29757000;Yes;n/a;2019;5;No;US;US;Multiple;US;High-income economies
Variation in Documenting Diagnosable Chronic Kidney Disease in General Medical Practice: Implications for Quality Improvement and Research.;Kitsos A and Peterson GM and Jose MD and Khanam MA and Castelino RL and Radford JC;30879383;Yes;n/a;2019;14;No;AU;AU;NPS MedicineWise;AU;High-income economies
Linking Spinal Cord Injury Data Sets to Describe the Patient Journey Following Injury: A Protocol.;Noonan VK and Jaglal SB and Humphreys S and Cronin S and Waheed Z and Fallah N and Kwon BK and Dvorak MF;33536728;No (excluded in title and abstract screening);No medical research (focus on data provision);2020;;;;;;;
Assessing stroke severity using electronic health record data: a machine learning approach.;Kogan E and Twyman K and Heap J and Milentijevic D and Lin JH and Alberts M;31914991;No (excluded in title and abstract screening);No tabular data;2020;;;;;;;
West Highland White Terriers under primary veterinary care in the UK in 2016: demography, mortality and disorders.;O'Neill DG and Ballantyne ZF and Hendricks A and Church DB and Brodbelt DC and Pegram C;31508236;No (excluded in title and abstract screening);No medical research (no new insights with direct relevance to health);2019;;;;;;;
Comparing the International Classification of Functioning, Disability, and Health Core Sets for Hearing Loss and Otorhinolaryngology/Audiology Intake Documentation at Mayo Clinic.;Alfakir R and van Leeuwen LM and Pronk M and Kramer SE and Zapala DA;30289788;Yes;n/a;2019;8;No;US;US;Mayo Clinic;US;High-income economies
HIV/SARS-CoV-2 co-infection: T cell profile, cytokine dynamics and role of exhausted lymphocytes.;Sharov KS;33115677;Yes;n/a;2021;1;Yes;RU;;Multiple;RU;Upper-middle-income economies
Childhood asthma prevalence: cross-sectional record linkage study comparing parent-reported wheeze with general practitioner-recorded asthma diagnoses from primary care electronic health records in Wales.;Griffiths LJ and Lyons RA and Bandyopadhyay A and Tingay KS and Walton S and Cortina-Borja M and Akbari A and Bedford H and Dezateux C;29333271;Yes;n/a;2018;10;No;UK;UK;SAIL Databank;UK;High-income economies
Data highlighting phenotypic diversity of urine-associated Escherichia coli isolates.;Eberly AR and Beebout CJ and Tong CMC and Van Horn GT and Green HD and Fitzgerald MJ and De S and Apple EK and Schrimpe-Rutledge AC and Codreanu SG and Sherrod SD and McLean JA and Clayton DB and Stratton CW and Schmitz JE and Hadjifrangiskou M;32566710;No (excluded in title and abstract screening);No medical research (focus on data provision);2020;;;;;;;
The Genomics Research and Innovation Network: creating an interoperable, federated, genomics learning system.;Mandl KD and Glauser T and Krantz ID and Avillach P and Bartels A and Beggs AH and Biswas S and Bourgeois FT and Corsmo J and Dauber A and Devkota B and Fleisher GR and Heath AP and Helbig I and Hirschhorn JN and Kilbourn J and Kong SW and Kornetsky S and Majzoub JA and Marsolo K and Martin LJ and Nix J and Schwarzhoff A and Stedman J and Strauss A and Sund KL and Taylor DM and White PS and Marsh E and Grimberg A and Hawkes C;31481752;No (excluded in title and abstract screening);No medical research (focus on data provision);2020;;;;;;;
Natural language processing and recurrent network models for identifying genomic mutation-associated cancer treatment change from patient progress notes.;Guan M and Cho S and Petro R and Zhang W and Pasche B and Topaloglu U;30944913;No (excluded in title and abstract screening);No tabular data;2019;;;;;;;
Discovering Associations Among Older Adults' Characteristics and Planned Nursing Interventions Using Electronic Health Record Data.;Gao G and Kerr MJ and Lindquist RA and Chi CL and Mathiason MA and Monsen KA;30796148;Yes;n/a;2019;;No;US;US;University of Minnesota;US;High-income economies
A Genetic Approach to the Association Between PCSK9 and Sepsis.;Feng Q and Wei WQ and Chaugai S and Carranza Leon BG and Kawai V and Carranza Leon DA and Jiang L and Zhong X and Liu G and Ihegword A and Shaffer CM and Linton MF and Chung CP and Stein CM;31509211;Yes;n/a;2019;1;No;US;US;Vanderbilt University Medical Center;US;High-income economies
Estimating the prevalence of multiple sclerosis using 56.6 million electronic health records from the United States.;Briggs FB and Hill E;31339444;Yes;n/a;2020;6;No;US;US;IBM;US;High-income economies
Generalizability of Blood Pressure Lowering Trials to Older Patients: Cross-Sectional Analysis.;Sheppard JP and Lown M and Burt J and Temple E and Lowe R and Ashby H and Todd O and Allen J and Ford GA and Fraser R and Heneghan C and Hobbs FDR and Jowett S and Little P and Mant J and Mollison J and Payne R and Williams M and Yu LM and McManus RJ;32898307;Yes;n/a;2020;9;No;UK;UK;Multiple;UK;High-income economies
Overlap of Characteristic Serological Antibodies in Rheumatoid Arthritis and Wheat-Related Disorders.;Yang Y and Deshpande P and Krishna K and Ranganathan V and Jayaraman V and Wang T and Bei K and Rajasekaran JJ and Krishnamurthy H;30755781;Yes;n/a;2019;13;No;US;US;Vibrant America Clinical Laboratory;US;High-income economies
Novel Method of Atrial Fibrillation Case Identification and Burden Estimation Using the MIMIC-III Electronic Health Data Set.;Ding EY and Albuquerque D and Winter M and Binici S and Piche J and Bashar SK and Chon K and Walkey AJ and McManus DD;31354020;Yes;n/a;2019;9;No;US;US;Massachusetts Institute of Technology;US;High-income economies
Depression and Buprenorphine Treatment in Patients with Non-cancer Pain and Prescription Opioid Dependence without Comorbid Substance Use Disorders.;Scherrer JF and Salas J and Grucza R and Sullivan MD and Lustman PJ and Copeland LA and Ballantyne JC;33022442;Yes;n/a;2021;5;No;US;US;Optum;US;High-income economies
US Integrated Delivery Networks Perspective on Economic Burden of Patients with Treatment-Resistant Depression: A Retrospective Matched-Cohort Study.;Pilon D and Szukis H and Joshi K and Singer D and Sheehan JJ and Wu JW and Lefebvre P and Greenberg P;31254275;Yes;n/a;2020;5;No;CA;US;Optum;US;High-income economies
Patch test results with the European baseline series and additions thereof in the ESSCA network, 2015-2018.;Uter W and Bauer A and Belloni Fortina A and Bircher AJ and Brans R and Buhl T and Cooper SM and Czarnecka-Operacz M and Dickel H and Dugonik A and Geier J and Giménez-Arnau AM and Gonçalo M and Johansen JD and Johnston GA and Mahler V and Rustemeyer T and Sanchez-Perez J and Schuttelaar MLA and Simon D and Spiewak R and Valiukevičienė S and Weisshaar E and White IR and Wilkinson M;32945543;Yes;n/a;2021;12;No;DE;UK;Multiple;DE, AT, CH, DK, PT;
Heterogeneity introduced by EHR system implementation in a de-identified data resource from 100 non-affiliated organizations.;Glynn EF and Hoffman MA;32025653;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2019;;;;;;;
Overall survival analysis in patients with metastatic breast cancer and liver or lung metastases treated with eribulin, gemcitabine, or capecitabine.;Kazmi S and Chatterjee D and Raju D and Hauser R and Kaufman PA;32808239;Yes;n/a;2020;2;No;US;US;Cancer Treatment Centers of America;US;High-income economies
Increased Incidence of Resistant Hypertension in Patients With Systemic Lupus Erythematosus: A Retrospective Cohort Study.;Gandelman JS and Khan OA and Shuey MM and Neal JE and McNeer E and Dickson A and Barnado A and Wang L and Anandi P and Dupont WD and Stein CM and Chung CP;30875459;Yes;n/a;2020;13;No;US;US;Vanderbilt University Medical Center;US;High-income economies
Disparities in Hypertension Control Across and Within Three Health Systems Participating in a Data-Sharing Collaborative.;Selby K and Michel M and Gildengorin G and Karliner L and Pramanik R and Fontil V and Potter MB;30413545;Yes;n/a;2018;9;No;US;US;Multiple;US;High-income economies
Bacterial Colonization and Tissue Compatibility of Denture Base Resins.;Olms C and Yahiaoui-Doktor M and Remmerbach TW and Stingu CS;29914101;No (excluded in title and abstract screening);No tabular data;2018;;;;;;;
Harnessing the potential of electronic general practice pathology data in Australia: An examination of the quality use of pathology for type 2 diabetes patients.;Imai C and Hardie RA and Franco GS and Sezgin G and Tepper K and McLeod A and Pearce C and Westbrook J and Georgiou A;32534436;Yes;n/a;2020;4;No;AU;AU;Outcome Health;AU;High-income economies
Efficient and Accurate Extracting of Unstructured EHRs on Cancer Therapy Responses for the Development of RECIST Natural Language Processing Tools: Part I, the Corpus.;Li Y and Luo YH and Wampfler JA and Rubinstein SM and Tiryaki F and Ashok K 5th and Warner JL and Xu H and Yang P;32364754;No (excluded in title and abstract screening);No medical research (focus on data provision);2020;;;;;;;
Is Blockchain Technology Suitable for Managing Personal Health Records? Mixed-Methods Study to Test Feasibility.;Park YR and Lee E and Na W and Park S and Lee Y and Lee JH;30735142;No (excluded in title and abstract screening);No medical research (no new insights with direct relevance to health);2019;;;;;;;
CYP2D6 genotype and adverse events to risperidone in children and adolescents.;Oshikoya KA and Neely KM and Carroll RJ and Aka IT and Maxwell-Horn AC and Roden DM and Van Driest SL;30661084;Yes;n/a;2019;;No;US;US;Vanderbilt University Medical Center;US;High-income economies
Learning to detect and understand drug discontinuation events from clinical narratives.;Liu F and Pradhan R and Druhl E and Freund E and Liu W and Sauer BC and Cunningham F and Gordon AJ and Peters CB and Yu H;31034028;No (excluded in title and abstract screening);No tabular data;2019;;;;;;;
Cardiovascular risk factors predicting cardiac events are different in patients with rheumatoid arthritis, psoriatic arthritis, and psoriasis.;Cooksey R and Brophy S and Kennedy J and Gutierrez FF and Pickles T and Davies R and Piguet V and Choy E;29656791;Yes;n/a;2018;9;No;UK;UK;SAIL Databank;UK;High-income economies
Epidemiology of chronic kidney disease in Australian general practice: National Prescribing Service MedicineWise MedicineInsight dataset.;Radford J and Kitsos A and Stankovich J and Castelino R and Khanam M and Jose M and Peterson G and Saunder T and Wimmer B and Razizaidi T;30467996;Yes;n/a;2019;14;No;AU;AU;NPS MedicineWise;AU;High-income economies
Preliminary Results of the Outpatient Endovascular and Interventional Society National Registry.;Ahn SS and Tahara RW and Jones LE and Carr JG and Blebea J;32813592;No (excluded in title and abstract screening);No medical research (focus on data provision);2020;;;;;;;
Use of digital periodontal data to compare periodontal treatment outcomes in a practice-based research network (PBRN): a proof of concept.;Peikert SA and Mittelhamm F and Frisch E and Vach K and Ratka-Krüger P and Woelber JP;33115466;Yes;n/a;2020;11;No;DE;DE;Multiple;DE;High-income economies
Effectiveness of oral rotavirus vaccination in England against rotavirus-confirmed and all-cause acute gastroenteritis.;Walker JL and Andrews NJ and Atchison CJ and Collins S and Allen DJ and Ramsay ME and Ladhani SN and Thomas SL;31384727;Yes;n/a;2019;1;No;UK;UK;Clinical Practice Research Datalink;UK;High-income economies
Prevalence and correlates of low-grade systemic inflammation in adult psychiatric inpatients: An electronic health record-based study.;Osimo EF and Cardinal RN and Jones PB and Khandaker GM;29544672;Yes;n/a;2018;5;No;UK;UK;Cambridgeshire and Peterborough NHS Foundation Trust;UK;High-income economies
Antibiotic prescribing for common infections in UK general practice: variability and drivers.;Palin V and Mölter A and Belmonte M and Ashcroft DM and White A and Welfare W and van Staa T;31038162;Yes;n/a;2019;;No;UK;UK;Clinical Practice Research Datalink;UK;High-income economies
A two-site survey of medical center personnel's willingness to share clinical data for research: implications for reproducible health NLP research.;Weng C and Friedman C and Rommel CA and Hurdle JF;30943963;No (excluded in title and abstract screening);No medical research (no new insights with direct relevance to health);2019;;;;;;;
Daratumumab-lenalidomide-dexamethasone vs standard-of-care regimens: Efficacy in transplant-ineligible untreated myeloma.;Durie BGM and Kumar SK and Usmani SZ and Nonyane BAS and Ammann EM and Lam A and Kobos R and Maiese EM and Facon T;32804408;Yes;n/a;2020;2;No;US;FR;Flatiron Health;US;High-income economies
Validity of health insurance data to identify people with epilepsy.;Wassenaar M and Carpay JA and Sander JW and Thijs RD;29220740;Yes;n/a;2018;6;No;NL;NL;Achmea;NL;High-income economies
Opioid Prescribing Rates in Nonmetropolitan and Metropolitan Counties Among Primary Care Providers Using an Electronic Health Record System - United States, 2014-2017.;García MC and Heilig CM and Lee SH and Faul M and Guy G and Iademarco MF and Hempstead K and Raymond D and Gray J;30653483;Yes;n/a;2019;;No;US;US;Athenahealth;US;High-income economies
National Trends in Daily Ambulatory Electronic Health Record Use by Otolaryngologists.;Giliberto JP and Ator G and Carroll TL and Chan T and Vahabzadeh-Hagh A;32876342;No (excluded in title and abstract screening);No tabular data;2021;;;;;;;
Predictive Modeling of 30-Day Emergency Hospital Transport of Patients Using a Personal Emergency Response System: Prognostic Retrospective Study.;Op den Buijs J and Simons M and Golas S and Fischer N and Felsted J and Schertzer L and Agboola S and Kvedar J and Jethwani K;30482741;Yes;n/a;2018;;No;NL;US;Philips Lifeline;US;High-income economies
Diagnostic Algorithms to Study Post-Concussion Syndrome Using Electronic Health Records: Validating a Method to Capture an Important Patient Population.;Dennis J and Yengo-Kahn AM and Kirby P and Solomon GS and Cox NJ and Zuckerman SL;30773988;Yes;n/a;2019;5;No;US;US;Vanderbilt University Medical Center;US;High-income economies
Data Integration Innovations to Enhance Analytic Utility of Clinical Trial Content to Inform Health Disparities Research.;Cohen SB and Unangst J;30254982;No (excluded in title and abstract screening);No medical research (focus on data provision);2018;;;;;;;
Mendelian Disease Associations Reveal Novel Insights into Inflammatory Bowel Disease.;Han L and Maciejewski M and Brockel C and Afzelius L and Altman RB;29462399;Yes;n/a;2018;11;No;US;US;Optum;US;High-income economies
The International Neuromodulation Registry: An Informatics Framework Supporting Cohort Discovery and Analysis.;Hedges DM and Hegman JC and Brown JR and Wilburn JT and Chapman BE and Butson CR;33071769;No (excluded in title and abstract screening);No medical research (focus on data provision);2020;;;;;;;
'Real time' monitoring of antipsychotic prescribing in patients with dementia: a study using the Clinical Record Interactive Search (CRIS) platform to enhance safer prescribing.;Colling C and Mueller C and Perera G and Funnell N and Sauer J and Harwood D and Stewart R and Bishara D;32229485;Yes;n/a;2020;5;No;UK;UK;South London and Maudsley NHS Foundation Trust;UK;High-income economies
Epidemiologic features of a large hepatitis C cohort evaluated in a major health system in the western United States.;Mukhtar NA and Ness EM and Jhaveri M and Fix OK and Hart M and Dale C and Pratt C and Kowdley KV;31053542;Yes;n/a;2019;1;No;US;US;Providence Health & Services;US;High-income economies
Adverse Events Associated with Risperidone Use in Pediatric Patients: A Retrospective Biobank Study.;Oshikoya KA and Carroll R and Aka I and Roden DM and Van Driest SL;30919267;Yes;n/a;2019;5;No;US;US;Vanderbilt University Medical Center;US;High-income economies
Early Treatment Innovation for Opioid-Dependent Newborns: A Retrospective Comparison of Outcomes, Utilization, Quality, and Safety, 2006-2014.;Summey J and Chen L and Mayo R and Charron E and Hudson JA and Sherrill WW and Dickes L;29793880;Yes;n/a;2018;5;No;US;US;Not precisely specified;US;High-income economies
Multi-institutional review of bowel management strategies in children with anorectal malformations.;Baxter KJ and Garza JM and Rollins MD and Drake K and Reeder RW and Wood R and Avansino J and Calkins CM and Ralls M and Garvey EM and Durham MM;32616413;Yes;n/a;2020;17;No;US;US;Multiple;US;High-income economies
J-CKD-DB: a nationwide multicentre electronic health record-based chronic kidney disease database in Japan.;Nakagawa N and Sofue T and Kanda E and Nagasu H and Matsushita K and Nangaku M and Maruyama S and Wada T and Terada Y and Yamagata K and Narita I and Yanagita M and Sugiyama H and Shigematsu T and Ito T and Tamura K and Isaka Y and Okada H and Tsuruya K and Yokoyama H and Nakashima N and Kataoka H and Ohe K and Okada M and Kashihara N;32355258;Yes;n/a;2020;14;No;JP;JP;Multiple;JP;High-income economies
Reduction in laboratory turnaround time decreases emergency room length of stay.;Kaushik N and Khangulov VS and O'Hara M and Arnaout R;29719423;Yes;n/a;2018;;No;US;US;Cerner Corporation;US;High-income economies
Temporal Trends and Patterns in Mortality After Incident Heart Failure: A Longitudinal Analysis of 86 000 Individuals.;Conrad N and Judge A and Canoy D and Tran J and Pinho-Gomes AC and Millett ERC and Salimi-Khorshidi G and Cleland JG and McMurray JJV and Rahimi K;31479100;Yes;n/a;2019;9;No;UK;UK;Clinical Practice Research Datalink;UK;High-income economies
Reversals and limitations on high-intensity, life-sustaining treatments.;Chavez G and Richman IB and Kaimal R and Bentley J and Yasukawa LA and Altman RB and Periyakoil VS and Chen JH;29489814;Yes;n/a;2018;;No;US;US;Stanford University Medical Center;US;High-income economies
Rivaroxaban Versus Warfarin in African American Patients with Nonvalvular Atrial Fibrillation.;Coleman CI and Thompson S and Ashton V and Palladino M and Bunz TJ;32493618;Yes;n/a;2020;9;No;US;US;Optum;US;High-income economies
An animal health example of managing and analyzing a large volume of data on a PC: Modeling body weight and age of over 13 million cats for explanatory and predictive purposes.;Campigotto A and Bernardo T and Stone E and Stacey D and Poljak Z;31733427;No (excluded in title and abstract screening);No medical research (no new insights with direct relevance to health);2020;;;;;;;
Using de-identified electronic health records to research mental health supported housing services: A feasibility study.;Dalton-Locke C and Thygesen JH and Werbeloff N and Osborn D and Killaspy H;32817624;Yes;n/a;2020;5;No;UK;UK;Camden and Islington NHS Foundation Trust;UK;High-income economies
Supporting general practice to make timely decisions for better health care: a population health approach.;Davies D;29898816;No (excluded in title and abstract screening);No medical research (no new insights with direct relevance to health);2018;;;;;;;
